LSM303D detected successfully.
starting main
x -4.703588
y -7.99344
z 7.99344
Begin calibration routine
('gravity magnitude', 1.0194781099777315)
('gravity removed', [-0.1378853055123752, -0.03721261059617976, 1.0099368586820843])
end of calibration
sleeping
clearing graph
beginning main loop
X Acceleration,Y Acceleration,Z Acceleration,X Kalman,Y Kalman,Z Kalman,X Kalman Rounded,Y Kalman Rounded,Z Kalman Rounded
(-0.09638, 0, 1.007964, 0.010014975883305119, 0, -0.01036917444072083, '0.010', '0.000', '-0.010')
(-0.09638, 0, 1.007964, 0.009828860296502165, 0, -0.010307465760559964, '0.010', '0.000', '-0.010')
(-0.09638, 0, 1.007964, 0.009650004385864608, 0, -0.010247423972413072, '0.010', '0.000', '-0.010')
(-0.09638, 0, 1.007964, 0.009477991522987256, 0, -0.010312053645076702, '0.009', '0.000', '-0.010')
(-0.098088, 0, 1.013332, 0.007646930462892415, 0, -0.005007282896004384, '0.008', '0.000', '-0.005')
(-0.098088, 0, 1.013332, 0.007501531259477459, 0, -0.0049458214152624524, '0.008', '0.000', '-0.005')
(-0.098088, 0, 1.013332, 0.00736165435985546, 0, -0.005015527438922751, '0.007', '0.000', '-0.005')
(-0.098088, 0, 1.013332, 0.00719537347603004, 0, -0.005084642814798368, '0.007', '0.000', '-0.005')
(-0.098088, 0, 1.013332, 0.0070596360278124964, 0, -0.005023387259859069, '0.007', '0.000', '-0.005')
(-0.102236, 0.022448, 1.014552, 0.0028558297388892318, -0.005237304853442811, -0.003857764905377481, '0.003', '-0.005', '-0.004')
(-0.102236, 0.022448, 1.014552, 0.002802090401772178, -0.00699530112473468, -0.003925597756034183, '0.003', '-0.007', '-0.004')
(-0.102236, 0.022448, 1.014552, 0.0026619238596729405, -0.008920569724976155, -0.003973023620306382, '0.003', '-0.009', '-0.004')
(-0.102236, 0.022448, 1.014552, 0.0026110376493157783, -0.008730646197451734, -0.003904176265626891, '0.003', '-0.009', '-0.004')
(-0.102236, 0.022448, 1.014552, 0.002562028615973766, -0.010338305090058664, -0.003963865229989816, '0.003', '-0.010', '-0.004')
(-0.092232, 0, 1.011624, 0.013256684888186973, 0, -0.006961624299868019, '0.013', '0.000', '-0.007')
(-0.092232, 0, 1.011624, 0.013334177316033369, 0, -0.007017297573560954, '0.013', '0.000', '-0.007')
(-0.092232, 0, 1.011624, 0.01308322693515769, 0, -0.0069623870023229895, '0.013', '0.000', '-0.007')
(-0.092232, 0, 1.011624, 0.012841780005742598, 0, -0.007021995499688405, '0.013', '0.000', '-0.007')
(-0.103944, 0, 1.004792, 0.0016496086875956856, 0, -0.01388695049867672, '0.002', '0.000', '-0.014')
(-0.103944, 0, 1.004792, 0.0016363661670850127, 0, -0.013843512342591957, '0.002', '0.000', '-0.014')
(-0.103944, 0, 1.004792, 0.0015111166884621136, 0, -0.013874846182986289, '0.002', '0.000', '-0.014')
(-0.103944, 0, 1.004792, 0.0015004085525289895, 0, -0.01380570728929853, '0.002', '0.000', '-0.014')
(-0.099796, 0, 1.007232, 0.0055546126470044505, 0, -0.01130238520669713, '0.006', '0.000', '-0.011')
(-0.099796, 0, 1.007232, 0.00546432105316931, 0, -0.011349652105784758, '0.005', '0.000', '-0.011')
(-0.099796, 0, 1.007232, 0.005377340986004425, 0, -0.011287058097385172, '0.005', '0.000', '-0.011')
(-0.10052799999999999, 0, 1.012356, 0.005128141159780872, 0, -0.0062149556677852935, '0.005', '0.000', '-0.006')
(-0.10052799999999999, 0, 1.012356, 0.004902486917676474, 0, -0.006258338904634009, '0.005', '0.000', '-0.006')
end of main loop
closing main graph
